#t0_Mstar=7.943282e+10 (N07Mbar=9.103781e+10) t0_sfr=2.790239e+00	1.00000000000000001988462483866e+30 t0_sfr=6.606934e+00
#tlb ,red_binl[i],Mstar[i],CSFH[i],phi[i],dMLdt[i],massloss_to_t0[i], Mstar_Noeske(tlb,Mbar_Noeske),phi_Noeske(tlb,Mbar_Noeske)FWHM=0.50:Ms,Cs,phi,FWHM=0.75:Ms,Cs,phi,FWHM=1.00:Ms,Cs,phi	1.00000000000000001988462483866e+30 Mstar_Noeske(tlb,Mbar_Noeske),phi_Noeske(tlb,Mbar_Noeske)FWHM=0.50:Ms,Cs,phi,FWHM=0.75:Ms,Cs,phi,FWHM=1.00:Ms,Cs,phi
1.004647e+10 1.859429 9.444082e+09	9.268014e+08 9.444082e+09
1.003337e+10 1.852267 9.673366e+09	1.022699e+09 9.673366e+09
1.002027e+10 1.845164 9.903837e+09	1.124193e+09 9.903837e+09
1.000717e+10 1.838100 1.013544e+10	1.231300e+09 1.013544e+10
9.994074e+09 1.831072 1.036814e+10	1.344020e+09 1.036814e+10
9.980976e+09 1.824078 1.060187e+10	1.462341e+09 1.060187e+10
9.967878e+09 1.817123 1.083659e+10	1.586244e+09 1.083659e+10
9.954779e+09 1.810224 1.107226e+10	1.715705e+09 1.107226e+10
9.941681e+09 1.803359 1.130884e+10	1.850679e+09 1.130884e+10
9.928582e+09 1.796527 1.154628e+10	1.991113e+09 1.154628e+10
9.915484e+09 1.789728 1.178453e+10	2.136944e+09 1.178453e+10
9.902386e+09 1.782974 1.202356e+10	2.288109e+09 1.202356e+10
9.889287e+09 1.776267 1.226333e+10	2.444537e+09 1.226333e+10
9.876189e+09 1.769591 1.250380e+10	2.606143e+09 1.250380e+10
9.863091e+09 1.762947 1.274492e+10	2.772835e+09 1.274492e+10
9.849992e+09 1.756335 1.298666e+10	2.944516e+09 1.298666e+10
9.836894e+09 1.749772 1.322898e+10	3.121095e+09 1.322898e+10
9.823795e+09 1.743247 1.347184e+10	3.302470e+09 1.347184e+10
9.810697e+09 1.736752 1.371522e+10	3.488529e+09 1.371522e+10
9.797599e+09 1.730289 1.395907e+10	3.679157e+09 1.395907e+10
9.784500e+09 1.723856 1.420335e+10	3.874237e+09 1.420335e+10
9.771402e+09 1.717472 1.444805e+10	4.073663e+09 1.444805e+10
9.758303e+09 1.711122 1.469312e+10	4.277315e+09 1.469312e+10
9.745205e+09 1.704802 1.493853e+10	4.485068e+09 1.493853e+10
9.732107e+09 1.698511 1.518424e+10	4.696795e+09 1.518424e+10
9.719008e+09 1.692249 1.543024e+10	4.912371e+09 1.543024e+10
9.705910e+09 1.686036 1.567648e+10	5.131683e+09 1.567648e+10
9.692811e+09 1.679854 1.592295e+10	5.354605e+09 1.592295e+10
9.679713e+09 1.673700 1.616961e+10	5.581008e+09 1.616961e+10
9.666615e+09 1.667575 1.641643e+10	5.810763e+09 1.641643e+10
9.653516e+09 1.661477 1.666338e+10	6.043741e+09 1.666338e+10
9.640418e+09 1.655426 1.691044e+10	6.279835e+09 1.691044e+10
9.627319e+09 1.649405 1.715759e+10	6.518916e+09 1.715759e+10
9.614221e+09 1.643411 1.740480e+10	6.720051e+09 1.740480e+10
9.601123e+09 1.637444 1.765204e+10	6.782597e+09 1.765204e+10
9.588024e+09 1.631504 1.789928e+10	6.847295e+09 1.789928e+10
9.574926e+09 1.625607 1.814651e+10	6.914206e+09 1.814651e+10
9.561827e+09 1.619740 1.839371e+10	6.983398e+09 1.839371e+10
9.548729e+09 1.613899 1.864084e+10	7.054942e+09 1.864084e+10
9.535631e+09 1.608084 1.888789e+10	7.128910e+09 1.888789e+10
9.522532e+09 1.602295 1.913483e+10	7.205377e+09 1.913483e+10
9.509434e+09 1.596544 1.938165e+10	7.284414e+09 1.938165e+10
9.496335e+09 1.590825 1.962833e+10	7.366099e+09 1.962833e+10
9.483237e+09 1.585132 1.987484e+10	7.450514e+09 1.987484e+10
9.470139e+09 1.579463 2.012116e+10	7.537741e+09 2.012116e+10
9.457040e+09 1.573819 2.036728e+10	7.627868e+09 2.036728e+10
9.443942e+09 1.568207 2.061318e+10	7.720979e+09 2.061318e+10
9.430844e+09 1.562630 2.085884e+10	7.817160e+09 2.085884e+10
9.417745e+09 1.557078 2.110424e+10	7.916504e+09 2.110424e+10
9.404647e+09 1.551549 2.134936e+10	8.019107e+09 2.134936e+10
9.391548e+09 1.546045 2.159420e+10	8.125068e+09 2.159420e+10
9.378450e+09 1.540565 2.183872e+10	8.234485e+09 2.183872e+10
9.365352e+09 1.535125 2.208292e+10	8.347452e+09 2.208292e+10
9.352253e+09 1.529709 2.232678e+10	8.464076e+09 2.232678e+10
9.339155e+09 1.524315 2.257029e+10	8.584464e+09 2.257029e+10
9.326056e+09 1.518944 2.281343e+10	8.708727e+09 2.281343e+10
9.312958e+09 1.513596 2.305619e+10	8.836976e+09 2.305619e+10
9.299860e+09 1.508282 2.329855e+10	8.969319e+09 2.329855e+10
9.286761e+09 1.502996 2.354050e+10	9.105870e+09 2.354050e+10
9.273663e+09 1.497732 2.378204e+10	9.246750e+09 2.378204e+10
9.260564e+09 1.492490 2.402313e+10	9.392080e+09 2.402313e+10
9.247466e+09 1.487270 2.426378e+10	9.541984e+09 2.426378e+10
9.234368e+09 1.482075 2.450396e+10	9.696585e+09 2.450396e+10
9.221269e+09 1.476914 2.474368e+10	9.856004e+09 2.474368e+10
9.208171e+09 1.471775 2.498291e+10	1.002037e+10 2.498291e+10
9.195072e+09 1.466656 2.522165e+10	1.018982e+10 2.522165e+10
9.181974e+09 1.461559 2.545989e+10	1.036448e+10 2.545989e+10
9.168876e+09 1.456483 2.569761e+10	1.054450e+10 2.569761e+10
9.155777e+09 1.451438 2.593480e+10	1.072999e+10 2.593480e+10
9.142679e+09 1.446418 2.617146e+10	1.092111e+10 2.617146e+10
9.129580e+09 1.441419 2.640758e+10	1.111798e+10 2.640758e+10
9.116482e+09 1.436441 2.664315e+10	1.132075e+10 2.664315e+10
9.103384e+09 1.431482 2.687815e+10	1.152957e+10 2.687815e+10
9.090285e+09 1.426544 2.711258e+10	1.174457e+10 2.711258e+10
9.077187e+09 1.421640 2.734644e+10	1.196590e+10 2.734644e+10
9.064088e+09 1.416755 2.757970e+10	1.219370e+10 2.757970e+10
9.050990e+09 1.411891 2.781238e+10	1.242812e+10 2.781238e+10
9.037892e+09 1.407045 2.804445e+10	1.266930e+10 2.804987e+10
9.024793e+09 1.402220 2.827591e+10	1.291740e+10 2.830015e+10
9.011695e+09 1.397417 2.850675e+10	1.317256e+10 2.855008e+10
8.998597e+09 1.392643 2.873697e+10	1.343491e+10 2.879985e+10
8.985498e+09 1.387888 2.896656e+10	1.370461e+10 2.904938e+10
8.972400e+09 1.383152 2.919552e+10	1.398181e+10 2.929865e+10
8.959301e+09 1.378435 2.942383e+10	1.426334e+10 2.954761e+10
8.946203e+09 1.373736 2.965149e+10	1.454313e+10 2.979624e+10
8.933105e+09 1.369062 2.987849e+10	1.482230e+10 3.004452e+10
8.920006e+09 1.364413 3.010484e+10	1.510104e+10 3.029244e+10
8.906908e+09 1.359782 3.033053e+10	1.537940e+10 3.053996e+10
8.893809e+09 1.355169 3.055554e+10	1.565741e+10 3.078708e+10
8.880711e+09 1.350574 3.077988e+10	1.593509e+10 3.103376e+10
8.867613e+09 1.345997 3.100353e+10	1.621242e+10 3.127999e+10
8.854514e+09 1.341445 3.122650e+10	1.648941e+10 3.152576e+10
8.841416e+09 1.336915 3.144878e+10	1.676604e+10 3.177104e+10
8.828317e+09 1.332403 3.167037e+10	1.704229e+10 3.201583e+10
8.815219e+09 1.327908 3.189127e+10	1.731815e+10 3.226011e+10
8.802121e+09 1.323430 3.211146e+10	1.759358e+10 3.250386e+10
8.789022e+09 1.318970 3.233094e+10	1.786858e+10 3.274706e+10
8.775924e+09 1.314534 3.254971e+10	1.814311e+10 3.298970e+10
8.762825e+09 1.310118 3.276778e+10	1.841717e+10 3.323178e+10
8.749727e+09 1.305720 3.298513e+10	1.869071e+10 3.347327e+10
8.736629e+09 1.301338 3.320176e+10	1.896373e+10 3.371417e+10
8.723530e+09 1.296973 3.341767e+10	1.923619e+10 3.395446e+10
8.710432e+09 1.292625 3.363285e+10	1.950807e+10 3.419413e+10
8.697333e+09 1.288299 3.384731e+10	1.977936e+10 3.443316e+10
8.684235e+09 1.283994 3.406104e+10	2.005003e+10 3.467156e+10
8.671137e+09 1.279704 3.427404e+10	2.032005e+10 3.490930e+10
