#t0_Mstar=3.981072e+10 (N07Mbar=5.653661e+10) t0_sfr=1.780908e+00	1.00000000000000001988462483866e+30 t0_sfr=9.220171e-01
#tlb ,red_binl[i],Mstar[i],CSFH[i],phi[i],dMLdt[i],massloss_to_t0[i], Mstar_Noeske(tlb,Mbar_Noeske),phi_Noeske(tlb,Mbar_Noeske)FWHM=0.50:Ms,Cs,phi,FWHM=0.75:Ms,Cs,phi,FWHM=1.00:Ms,Cs,phi	1.00000000000000001988462483866e+30 Mstar_Noeske(tlb,Mbar_Noeske),phi_Noeske(tlb,Mbar_Noeske)FWHM=0.50:Ms,Cs,phi,FWHM=0.75:Ms,Cs,phi,FWHM=1.00:Ms,Cs,phi
1.131701e+10 2.844771 0.000000e+00	0.000000e+00 8.915631e+08
1.130391e+10 2.830311 0.000000e+00	0.000000e+00 8.948481e+08
1.129082e+10 2.815959 0.000000e+00	0.000000e+00 8.981497e+08
1.127772e+10 2.801715 0.000000e+00	0.000000e+00 9.014681e+08
1.126462e+10 2.787645 0.000000e+00	0.000000e+00 9.048033e+08
1.125152e+10 2.773679 0.000000e+00	0.000000e+00 9.081554e+08
1.123842e+10 2.759815 0.000000e+00	0.000000e+00 9.115244e+08
1.122532e+10 2.746113 0.000000e+00	0.000000e+00 9.149105e+08
1.121223e+10 2.732517 0.000000e+00	0.000000e+00 9.183137e+08
1.119913e+10 2.719020 0.000000e+00	0.000000e+00 9.217341e+08
1.118603e+10 2.705666 0.000000e+00	0.000000e+00 9.251717e+08
1.117293e+10 2.692426 0.000000e+00	0.000000e+00 9.286266e+08
1.115983e+10 2.679280 0.000000e+00	0.000000e+00 9.320988e+08
1.114673e+10 2.666259 0.000000e+00	0.000000e+00 9.355886e+08
1.113363e+10 2.653361 0.000000e+00	0.000000e+00 9.390958e+08
1.112054e+10 2.640553 0.000000e+00	0.000000e+00 9.426206e+08
1.110744e+10 2.627848 0.000000e+00	0.000000e+00 9.461631e+08
1.109434e+10 2.615278 0.000000e+00	0.000000e+00 9.497234e+08
1.108124e+10 2.602795 0.000000e+00	0.000000e+00 9.533015e+08
1.106814e+10 2.590398 0.000000e+00	0.000000e+00 9.568975e+08
1.105504e+10 2.578138 0.000000e+00	0.000000e+00 9.605115e+08
1.104195e+10 2.565967 0.000000e+00	0.000000e+00 9.641435e+08
1.102885e+10 2.553879 0.000000e+00	0.000000e+00 9.677937e+08
1.101575e+10 2.541902 0.000000e+00	0.000000e+00 9.714620e+08
1.100265e+10 2.530033 0.000000e+00	0.000000e+00 9.751487e+08
1.098955e+10 2.518242 0.000000e+00	0.000000e+00 9.788538e+08
1.097645e+10 2.506535 0.000000e+00	0.000000e+00 9.825774e+08
1.096336e+10 2.494955 0.000000e+00	0.000000e+00 9.863195e+08
1.095026e+10 2.483451 0.000000e+00	0.000000e+00 9.900802e+08
1.093716e+10 2.472022 0.000000e+00	0.000000e+00 9.938597e+08
1.092406e+10 2.460700 0.000000e+00	0.000000e+00 9.976580e+08
1.091096e+10 2.449472 0.000000e+00	0.000000e+00 1.001475e+09
1.089786e+10 2.438317 0.000000e+00	0.000000e+00 1.005311e+09
1.088477e+10 2.427236 0.000000e+00	0.000000e+00 1.009167e+09
1.087167e+10 2.416275 0.000000e+00	0.000000e+00 1.013041e+09
1.085857e+10 2.405383 0.000000e+00	0.000000e+00 1.016935e+09
1.084547e+10 2.394561 0.000000e+00	0.000000e+00 1.020848e+09
1.083237e+10 2.383828 0.000000e+00	0.000000e+00 1.024780e+09
1.081927e+10 2.373191 0.000000e+00	0.000000e+00 1.028732e+09
1.080617e+10 2.362621 0.000000e+00	0.000000e+00 1.032704e+09
1.079308e+10 2.352116 0.000000e+00	0.000000e+00 1.036695e+09
1.077998e+10 2.341713 0.000000e+00	0.000000e+00 1.040706e+09
1.076688e+10 2.331385 0.000000e+00	0.000000e+00 1.044737e+09
1.075378e+10 2.321121 0.000000e+00	0.000000e+00 1.048788e+09
1.074068e+10 2.310922 0.000000e+00	0.000000e+00 1.052860e+09
1.072758e+10 2.300829 0.000000e+00	0.000000e+00 1.056951e+09
1.071449e+10 2.290797 0.000000e+00	0.000000e+00 1.061063e+09
1.070139e+10 2.280826 0.000000e+00	0.000000e+00 1.065195e+09
1.068829e+10 2.270927 0.000000e+00	0.000000e+00 1.069347e+09
1.067519e+10 2.261119 0.000000e+00	0.000000e+00 1.073521e+09
1.066209e+10 2.251370 0.000000e+00	0.000000e+00 1.077715e+09
1.064899e+10 2.241680 0.000000e+00	0.000000e+00 1.081929e+09
