#t0_Mstar=1.000000e+10 (N07Mbar=2.568469e+10) t0_sfr=7.255066e-01	1.00000000000000001988462483866e+30 t0_sfr=8.317638e-01
#tlb ,red_binl[i],Mstar[i],CSFH[i],phi[i],dMLdt[i],massloss_to_t0[i], Mstar_Noeske(tlb,Mbar_Noeske),phi_Noeske(tlb,Mbar_Noeske)FWHM=0.50:Ms,Cs,phi,FWHM=0.75:Ms,Cs,phi,FWHM=1.00:Ms,Cs,phi	1.00000000000000001988462483866e+30 Mstar_Noeske(tlb,Mbar_Noeske),phi_Noeske(tlb,Mbar_Noeske)FWHM=0.50:Ms,Cs,phi,FWHM=0.75:Ms,Cs,phi,FWHM=1.00:Ms,Cs,phi
1.136941e+10 2.904079 0.000000e+00	0.000000e+00 5.223014e+06
1.135631e+10 2.889029 0.000000e+00	0.000000e+00 5.226174e+06
1.134321e+10 2.874162 0.000000e+00	0.000000e+00 5.229369e+06
1.133011e+10 2.859408 0.000000e+00	0.000000e+00 5.232598e+06
1.131701e+10 2.844771 0.000000e+00	0.000000e+00 5.235860e+06
1.130391e+10 2.830311 0.000000e+00	0.000000e+00 5.239156e+06
1.129082e+10 2.815959 0.000000e+00	0.000000e+00 5.242485e+06
1.127772e+10 2.801715 0.000000e+00	0.000000e+00 5.245847e+06
1.126462e+10 2.787645 0.000000e+00	0.000000e+00 5.249242e+06
1.125152e+10 2.773679 0.000000e+00	0.000000e+00 5.252668e+06
1.123842e+10 2.759815 0.000000e+00	0.000000e+00 5.256126e+06
1.122532e+10 2.746113 0.000000e+00	0.000000e+00 5.259616e+06
1.121223e+10 2.732517 0.000000e+00	0.000000e+00 5.263137e+06
1.119913e+10 2.719020 0.000000e+00	0.000000e+00 5.266689e+06
1.118603e+10 2.705666 0.000000e+00	0.000000e+00 5.270271e+06
1.117293e+10 2.692426 0.000000e+00	0.000000e+00 5.273884e+06
1.115983e+10 2.679280 0.000000e+00	0.000000e+00 5.277527e+06
1.114673e+10 2.666259 0.000000e+00	0.000000e+00 5.281200e+06
1.113363e+10 2.653361 0.000000e+00	0.000000e+00 5.284903e+06
1.112054e+10 2.640553 0.000000e+00	0.000000e+00 5.288635e+06
1.110744e+10 2.627848 0.000000e+00	0.000000e+00 5.292396e+06
1.109434e+10 2.615278 0.000000e+00	0.000000e+00 5.296187e+06
1.108124e+10 2.602795 0.000000e+00	0.000000e+00 5.300005e+06
1.106814e+10 2.590398 0.000000e+00	0.000000e+00 5.303853e+06
1.105504e+10 2.578138 0.000000e+00	0.000000e+00 5.307728e+06
1.104195e+10 2.565967 0.000000e+00	0.000000e+00 5.311632e+06
1.102885e+10 2.553879 0.000000e+00	0.000000e+00 5.315564e+06
1.101575e+10 2.541902 0.000000e+00	0.000000e+00 5.319523e+06
1.100265e+10 2.530033 0.000000e+00	0.000000e+00 5.323509e+06
1.098955e+10 2.518242 0.000000e+00	0.000000e+00 5.327523e+06
1.097645e+10 2.506535 0.000000e+00	0.000000e+00 5.331564e+06
1.096336e+10 2.494955 0.000000e+00	0.000000e+00 5.335632e+06
1.095026e+10 2.483451 0.000000e+00	0.000000e+00 5.416625e+06
1.093716e+10 2.472022 0.000000e+00	0.000000e+00 5.848432e+06
1.092406e+10 2.460700 0.000000e+00	0.000000e+00 6.309470e+06
1.091096e+10 2.449472 0.000000e+00	0.000000e+00 6.801341e+06
1.089786e+10 2.438317 0.000000e+00	0.000000e+00 7.325718e+06
1.088477e+10 2.427236 0.000000e+00	0.000000e+00 7.884340e+06
1.087167e+10 2.416275 0.000000e+00	0.000000e+00 8.479016e+06
1.085857e+10 2.405383 0.000000e+00	0.000000e+00 9.111627e+06
1.084547e+10 2.394561 0.000000e+00	0.000000e+00 9.784129e+06
1.083237e+10 2.383828 0.000000e+00	0.000000e+00 1.049855e+07
1.081927e+10 2.373191 0.000000e+00	0.000000e+00 1.125701e+07
1.080617e+10 2.362621 0.000000e+00	0.000000e+00 1.206168e+07
1.079308e+10 2.352116 0.000000e+00	0.000000e+00 1.291484e+07
1.077998e+10 2.341713 0.000000e+00	0.000000e+00 1.381884e+07
1.076688e+10 2.331385 0.000000e+00	0.000000e+00 1.477612e+07
1.075378e+10 2.321121 0.000000e+00	0.000000e+00 1.578921e+07
1.074068e+10 2.310922 0.000000e+00	0.000000e+00 1.686072e+07
1.072758e+10 2.300829 0.000000e+00	0.000000e+00 1.799336e+07
1.071449e+10 2.290797 0.000000e+00	0.000000e+00 1.918994e+07
1.070139e+10 2.280826 0.000000e+00	0.000000e+00 2.045335e+07
1.068829e+10 2.270927 0.000000e+00	0.000000e+00 2.178660e+07
1.067519e+10 2.261119 0.000000e+00	0.000000e+00 2.319277e+07
1.066209e+10 2.251370 0.000000e+00	0.000000e+00 2.467506e+07
1.064899e+10 2.241680 0.000000e+00	0.000000e+00 2.623679e+07
1.063590e+10 2.232064 0.000000e+00	0.000000e+00 2.788137e+07
1.062280e+10 2.222530 0.000000e+00	0.000000e+00 2.961231e+07
1.060970e+10 2.213052 0.000000e+00	0.000000e+00 3.143325e+07
1.059660e+10 2.203629 0.000000e+00	0.000000e+00 3.334794e+07
1.058350e+10 2.194282 0.000000e+00	0.000000e+00 3.536025e+07
1.057040e+10 2.185010 0.000000e+00	0.000000e+00 3.747415e+07
1.055731e+10 2.175791 0.000000e+00	0.000000e+00 3.969376e+07
1.054421e+10 2.166626 0.000000e+00	0.000000e+00 4.202329e+07
1.053111e+10 2.157534 0.000000e+00	0.000000e+00 4.446711e+07
1.051801e+10 2.148512 0.000000e+00	0.000000e+00 4.702970e+07
1.050491e+10 2.139542 0.000000e+00	0.000000e+00 4.971567e+07
1.049181e+10 2.130623 0.000000e+00	0.000000e+00 5.252978e+07
1.047872e+10 2.121773 0.000000e+00	0.000000e+00 5.547691e+07
1.046562e+10 2.112992 0.000000e+00	0.000000e+00 5.856207e+07
1.045252e+10 2.104260 0.000000e+00	0.000000e+00 6.179045e+07
1.043942e+10 2.095577 0.000000e+00	0.000000e+00 6.516735e+07
1.042632e+10 2.086957 0.000000e+00	0.000000e+00 6.869822e+07
1.041322e+10 2.078407 0.000000e+00	0.000000e+00 7.238868e+07
1.040012e+10 2.069904 0.000000e+00	0.000000e+00 7.624448e+07
1.038703e+10 2.061447 0.000000e+00	0.000000e+00 8.027154e+07
1.037393e+10 2.053045 0.000000e+00	0.000000e+00 8.447592e+07
1.036083e+10 2.044717 0.000000e+00	0.000000e+00 8.886387e+07
1.034773e+10 2.036433 0.000000e+00	0.000000e+00 9.344177e+07
1.033463e+10 2.028194 0.000000e+00	0.000000e+00 9.821620e+07
1.032153e+10 2.020000 0.000000e+00	0.000000e+00 1.031939e+08
1.030844e+10 2.011884 0.000000e+00	0.000000e+00 1.083817e+08
1.029534e+10 2.003811 0.000000e+00	0.000000e+00 1.137868e+08
1.028224e+10 1.995781 0.000000e+00	0.000000e+00 1.193768e+08
1.026914e+10 1.987794 0.000000e+00	0.000000e+00 1.251248e+08
